dataset-comment "Conformance conversion: Mon Dec 07 09:59:10 2009"
dataset-description "Sudden Expansion 500 "
dataset-orientation "Sudden Expansion"
dataset-reynolds 0500
dataset-laminar-turbulent ""
dataset-experiment 1
dataset-code 243
dataset-experiment 1
geometry-flow-z-direction +1
geometry-throat-outlet-expansion-type "sudden"
geometry-sudden-z 0.0
fluid-density 1056
fluid-viscosity 0.0035
fluid-volumetric-flow-rate 5.20624E-006
plot-wall-distribution-pressure
17
-9.0320000E-002  3.53372E+002
-7.6960000E-002  3.53372E+002
-6.2990000E-002  3.53372E+002
-5.7230000E-002  2.87933E+002
-5.1490000E-002  2.61757E+002
-4.5750000E-002  2.74845E+002
-4.0010000E-002  1.30879E+002
-3.0000000E-002  5.23514E+001
-1.9990000E-002  0.00000E+000
-1.0010000E-002  -1.04703E+002
-2.0300000E-003  -1.04703E+002
0.0000000E+000  -1.30879E+002
2.0300000E-003  0.00000E+000
8.0000000E-003  2.61757E+001
1.6000000E-002  1.30879E+001
2.4000000E-002  0.00000E+000
3.2000000E-002  0.00000E+000
plot-z-distribution-pressure
17
-9.0320000E-002  3.53372E+002
-7.6960000E-002  3.53372E+002
-6.2990000E-002  3.53372E+002
-5.7230000E-002  2.87933E+002
-5.1490000E-002  2.61757E+002
-4.5750000E-002  2.74845E+002
-4.0010000E-002  1.30879E+002
-3.0000000E-002  5.23514E+001
-1.9990000E-002  0.00000E+000
-1.0010000E-002  -1.04703E+002
-2.0300000E-003  -1.04703E+002
0.0000000E+000  -1.30879E+002
2.0300000E-003  0.00000E+000
8.0000000E-003  2.61757E+001
1.6000000E-002  1.30879E+001
2.4000000E-002  0.00000E+000
3.2000000E-002  0.00000E+000
plot-z-distribution-axial-velocity
15
-8.8000000E-002  8.81317E-002
-6.4000000E-002  8.86036E-002
-4.8000000E-002  1.92385E-001
-4.2000000E-002  3.77476E-001
-2.0000000E-002  6.86341E-001
-8.0000000E-003  7.43192E-001
0.0000000E+000  7.49698E-001
8.0000000E-003  7.31271E-001
1.6000000E-002  7.13824E-001
2.4000000E-002  6.77253E-001
3.2000000E-002  6.54146E-001
4.0000000E-002  6.37283E-001
4.8000000E-002  6.28814E-001
6.0000000E-002  5.86956E-001
8.0000000E-002  4.42451E-001
